cid,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,prob,intensity,lat,lng
23009-6874,0,2,2,1,3,1,2,2,2,6,1,2,0.027013160645095017,24,-23.50490148821737,-46.6889285919477
123493-72934,0,0,0,1,0,0,1,1,1,2,0,0,0.01148712359018454,6,-23.580194622044523,-46.38301957553686
125175-6513,0,1,0,0,0,0,0,0,2,0,1,1,0.00998135185999047,5,-23.554304914374733,-46.6485587997716
28940-85732,1,1,0,0,1,0,0,0,2,0,0,0,0.010108742164614331,5,-23.493460145406544,-46.44238100001255
342-340,1,1,0,2,2,0,0,0,0,1,1,3,0.01809675579843759,11,-23.593331000002472,-46.692196237481916
99003-98999,0,2,0,1,0,1,2,1,2,2,0,1,0.01907463676990265,12,-23.558988475014097,-46.652031174985666
74021-74001,0,1,0,1,1,1,2,1,1,2,0,4,0.02182406780494963,14,-23.43855093677595,-46.574130483796324
12372-12393,0,0,0,0,0,2,0,0,6,2,2,4,0.012521826136373933,16,-23.676154544424286,-46.774014118995765
37203-37206,0,1,1,3,3,1,0,1,1,1,0,2,0.022478432391290847,14,-23.749544302125067,-46.69940059491667
23395-145,0,2,1,6,1,3,2,5,3,4,2,3,0.027013160645095017,32,-23.536190139597302,-46.633500814498326
9548-9547,0,0,0,0,1,0,1,2,0,1,0,0,0.009283912854100223,5,-23.675837778736607,-46.660516869531776
49463-7214,0,2,0,1,1,0,0,0,3,1,2,3,0.01795745129266189,13,-23.584298289339735,-46.49228186372149
22136-1837,0,0,0,0,0,0,0,0,2,3,2,0,0.007507780405459859,7,-23.563675442165703,-46.61086763948087
9783-125311,0,0,0,1,0,0,0,0,0,3,1,1,0.010311283584196116,6,-23.64102852645329,-46.661460697814434
28267-28268,0,0,1,0,0,0,0,0,1,1,1,1,0.012607058498460381,5,-23.461682179850833,-46.72081824184106
112632-8267,1,0,1,0,5,1,2,2,0,5,2,1,0.021949625155550163,20,-23.555503370103217,-46.6279062665306
63911-246,0,3,3,0,1,0,1,3,4,5,3,3,0.02186714222449873,26,-23.58481832528441,-46.738371499787824
34386-112914,0,1,0,1,1,0,0,0,0,2,0,0,0.010549567607233518,5,-23.567564947004378,-46.54135097347361
112711-6876,0,1,0,0,1,0,1,0,1,3,1,0,0.014778192539135853,8,-23.507989338523856,-46.68966423090275
72479-72478,0,2,1,0,1,1,0,3,2,4,2,1,0.022436274448753454,17,-23.526097209390603,-46.39799665160017
42593-42598,0,2,0,0,3,0,2,0,1,1,0,0,0.012190977935156605,9,-23.46495434751739,-46.66830359508809
45501-68003,0,0,1,2,0,1,0,0,1,1,0,0,0.012668462458243079,6,-23.475722975075925,-46.56974028422249
74937-74999,0,0,2,1,0,1,2,4,0,3,1,0,0.016869593079794912,14,-23.504725802469714,-46.37778012112909
100174-100163,0,0,0,1,1,0,0,2,1,2,0,0,0.0122890409754066,7,-23.724032394609022,-46.7738362460051
93122-93152,0,2,1,0,2,1,0,2,2,0,0,0,0.014754364136832124,10,-23.578375325000145,-46.41179679999948
4587-397,0,2,0,0,0,1,0,1,3,1,0,0,0.012000350716726681,8,-23.569798986709436,-46.70344145448608
85247-70594,0,2,1,1,1,0,0,1,1,1,0,0,0.017464386660376773,8,-23.49980776181321,-46.45256480646014
23320-23321,0,3,1,0,2,1,0,0,2,4,2,1,0.02044660285639105,16,-23.54010973554113,-46.64417166088896
126024-5689,0,0,0,0,0,0,0,0,0,3,7,1,0.0076819110376794885,11,-23.58762502237352,-46.59177578323845
27830-27831,0,1,1,2,0,1,1,0,0,1,0,0,0.014866174332257323,7,-23.454067907968003,-46.67251163062651
79819-71966,0,0,1,1,0,1,0,1,2,1,3,0,0.017245348654584727,10,-23.650343439847212,-46.78327169298534
88803-41041,0,0,0,1,0,2,0,1,1,1,0,4,0.014553655671273664,10,-23.454790342841335,-46.697896235913674
73784-28951,0,1,2,1,1,2,1,0,3,1,1,2,0.02502348905273268,15,-23.49751621900554,-46.398720550509694
112773-6033,1,0,0,0,0,1,1,0,1,3,1,1,0.016931913516589306,9,-23.547639387509175,-46.64726021256615
16592-22448,0,0,0,2,1,0,0,0,0,1,1,1,0.013060714619243146,6,-23.581809999999997,-46.5979337
4313-114620,0,1,3,1,2,0,3,0,1,1,2,1,0.022506843178653015,15,-23.665770618198408,-46.71231631106252
27988-111510,0,1,1,0,2,0,1,0,2,0,1,0,0.01478277492419426,8,-23.458935510516113,-46.64842983242956
40038-21904,0,0,1,2,0,0,0,1,0,3,0,1,0.012315618808745384,8,-23.544702566693097,-46.619243249984734
381-382,0,4,1,1,3,1,3,4,3,3,0,2,0.024425946041115792,25,-23.57607345000467,-46.69575102502
54483-135396,0,1,2,2,0,1,0,0,1,2,0,0,0.015241929907047116,9,-23.620749559918888,-46.51047568938775
92359-92327,0,1,1,1,0,0,2,1,0,2,2,0,0.016926414654519207,10,-23.601551823542167,-46.43849769429627
10599-10629,0,0,1,1,0,0,0,0,2,0,1,0,0.010141735337034866,5,-23.516569222121717,-46.70432109261283
5424-5434,0,1,2,1,3,4,0,1,2,1,3,1,0.025065646995270106,19,-23.550088462528358,-46.631867887901734
21348-34182,0,0,2,1,0,1,1,0,0,3,0,0,0.012292706883453332,8,-23.57188539606436,-46.50618359696702
71374-71392,0,1,0,0,1,1,1,1,1,1,0,0,0.016697295401598655,7,-23.5190373808891,-46.546533825753514
65322-117020,0,2,1,0,1,1,1,0,2,2,4,3,0.022394116506216026,17,-23.518847175005,-46.58162609998895
16719-16721,0,0,0,1,0,0,0,2,3,2,2,0,0.01212682454433882,10,-23.668955786765984,-46.70236993339735
135964-44315,0,1,0,2,3,4,3,3,2,2,4,4,0.024411282408928866,28,-23.508139099999994,-46.7379387
140151-136862,0,1,0,0,2,0,0,0,0,2,0,2,0.01041759491755127,7,-23.517370033341223,-46.46876708330792
7076-71291,0,1,2,0,0,0,0,1,3,0,0,0,0.009488287227705368,7,-23.531574234527262,-46.518751287910966
19764-19013,0,0,1,0,0,1,0,0,2,2,0,0,0.010039089911726461,6,-23.57642690672713,-46.60881126604187
135653-21538,0,1,0,2,0,1,0,0,2,1,0,0,0.012640051670880954,7,-23.688206492636567,-46.66573485212197
5659-5680,0,2,0,1,0,1,0,1,0,1,1,1,0.01739106849944217,8,-23.536987622984,-46.642088803560824
5428-32015,0,1,2,2,2,0,0,2,0,1,1,0,0.01772833203974123,11,-23.54471103882045,-46.63386470209814
28258-139409,0,1,2,2,1,2,4,2,2,4,2,1,0.027013160645095017,23,-23.438013080426984,-46.721232812748994
20671-20658,0,0,0,0,3,2,0,0,1,1,0,0,0.010186642710607338,7,-23.533876490567593,-46.57089595738596
24295-24296,0,1,4,0,2,2,0,4,1,1,3,2,0.022436274448753454,20,-23.514769569720702,-46.62512148641813
19784-19868,0,0,0,1,0,1,0,0,3,4,2,2,0.015151198682890563,13,-23.546218367560208,-46.69222942665347
118660-107217,0,0,0,0,2,0,1,1,1,1,2,1,0.016691796539528517,9,-23.686418333902708,-46.793849274262485
2331-2330,0,2,0,1,2,1,0,0,0,1,0,0,0.01306621348131324,7,-23.410234060094687,-46.81853747006668
72873-116745,0,1,2,0,5,3,1,2,0,5,3,2,0.022060518873963708,24,-23.543874768365317,-46.41057290718705
32011-5600,0,2,0,3,2,0,0,0,1,1,1,0,0.015460051435827477,10,-23.54683427500006,-46.63338927500073
7293-21308,0,0,0,0,0,0,0,0,1,4,1,0,0.007507780405459855,6,-23.558088589896848,-46.522043864057146
3861-3859,0,0,0,0,0,0,0,0,2,3,1,2,0.01000518026229422,8,-23.675710026239454,-46.78877830146676
69127-91776,0,2,0,2,1,0,0,0,2,5,7,1,0.017957451292661884,20,-23.62489543446044,-46.462572839712585
120231-96749,0,0,0,0,0,1,1,0,0,2,2,1,0.012146070561584153,7,-23.523670735920582,-46.41792757254345
32020-5515,0,3,1,1,1,1,0,1,1,2,0,1,0.022478432391290847,12,-23.547067416765827,-46.63664175395411
13264-14271,0,0,1,1,0,0,1,0,0,1,1,0,0.012363275613352872,5,-23.603571803223524,-46.67471285310542
126332-9428,0,0,1,0,0,0,0,0,0,3,1,1,0.010283789273845653,6,-23.58626725,-46.5897615
100329-100330,0,0,1,1,0,2,2,1,1,1,1,1,0.02169026216124401,11,-23.536626486508887,-46.635694221381144
18742-22281,0,0,0,0,1,0,0,0,2,1,1,0,0.010257211440506885,5,-23.526929575313332,-46.647580546048886
6587-61364,0,1,0,0,1,1,0,0,0,1,0,1,0.012934240791630986,5,-23.553001453314664,-46.67342755000955
102532-102533,0,2,0,0,0,0,1,0,0,2,0,1,0.009615677532329227,6,-23.454742449999998,-46.74045435
62315-62308,0,0,0,1,0,0,1,2,2,1,1,1,0.016571738050998153,9,-23.48445440018491,-46.48822867551374
4023-4024,0,1,1,0,0,0,0,0,1,3,0,0,0.010095911486450778,6,-23.638034671394657,-46.77964523270549
547-548,0,0,0,1,1,1,0,5,1,2,1,1,0.019890301310299962,13,-23.603739600000843,-46.69594390000071
23731-6118,0,1,1,1,1,0,1,2,1,2,1,2,0.024496514771015308,13,-23.553190814959102,-46.60004966954594
89024-89016,0,1,1,1,0,1,0,0,0,2,0,0,0.012918660682432359,6,-23.45178789984517,-46.71187034211904
82247-82246,0,0,0,1,1,0,1,0,1,1,1,1,0.017331497493682835,7,-23.51530042501895,-46.460983950000966
855-856,0,0,0,2,0,0,2,1,1,1,2,0,0.014074338194163788,9,-23.66612433236591,-46.7072809400988
86595-86564,0,0,1,0,0,0,1,0,0,1,1,1,0.012231302923670622,5,-23.683982532021243,-46.78174399981261
74476-74488,0,0,0,0,1,1,0,0,1,1,1,0,0.012773857314586565,5,-23.495937858222923,-46.37171601509257
89016-88378,0,0,0,0,0,0,0,1,1,2,2,0,0.009497451997822213,6,-23.45347989701444,-46.70901818228913
113517-130400,0,0,1,2,0,0,0,1,0,1,0,1,0.012315618808745378,6,-23.5386193,-46.5975413
29563-3133,0,0,0,1,1,0,0,0,1,2,0,0,0.010299369383044241,5,-23.69267288675612,-46.69861792460225
140452-106345,0,0,1,0,1,0,1,1,0,1,1,2,0.016970405551079974,8,-23.679976389066063,-46.764705272177075
6693-6694,0,0,0,1,1,0,0,1,0,2,0,0,0.00996577175079187,5,-23.595354800002347,-46.650729499982646
63469-66062,0,0,1,2,1,1,0,0,0,1,1,0,0.0156818388726546,7,-23.575711835328022,-46.77962195678009
109201-109202,0,1,1,0,1,0,0,0,0,2,0,0,0.010522073296883063,5,-23.80382604462329,-46.65025807744015
65769-65770,0,2,0,0,1,1,1,2,2,2,3,1,0.021781909862412283,15,-23.587536666765253,-46.75020832117576
7188-10783,0,0,2,0,0,1,0,0,3,3,3,3,0.015123704372540087,15,-23.611066546484302,-46.47559039811718
576-58488,0,0,1,0,0,1,0,0,2,1,1,0,0.012626304515705716,6,-23.608739002569372,-46.69745098249399
53799-53800,0,2,0,0,0,1,0,1,1,1,3,1,0.01708496517754031,10,-23.5804637000113,-46.770845374981974
108541-60748,0,2,2,1,1,0,0,0,0,2,1,0,0.01573866044737891,9,-23.79928720866768,-46.73140984693825
80567-80565,0,1,0,0,0,1,1,1,0,2,0,1,0.014121994998771295,7,-23.64604906642966,-46.75999467458885
119304-115997,0,0,0,0,0,1,1,1,0,1,0,1,0.011548527549967273,5,-23.63268125172862,-46.69243860570832
97023-97753,0,0,1,0,0,0,0,0,0,2,1,1,0.010283789273845649,5,-23.523057741305763,-46.40697101977405
33477-33478,0,0,0,0,4,0,0,0,2,1,1,4,0.012754611297341229,12,-23.591280633911985,-46.49492780107069
4268-118849,0,0,0,0,1,0,1,1,1,1,1,0,0.014194396682694177,6,-23.666396677849683,-46.72701018478767
39237-44591,0,0,2,0,0,0,0,2,1,1,0,0,0.009512115630009133,6,-23.494253329276695,-46.75751559434619
50684-46387,0,2,0,2,3,2,0,1,0,3,1,0,0.017643099677654837,14,-23.6015483191236,-46.51140550753249
48235-45980,0,2,0,1,1,1,0,1,1,1,3,3,0.022463768759103928,14,-23.770184165394117,-46.68159868953564
8793-112860,0,0,0,0,1,0,1,0,0,2,2,1,0.012378855722551506,7,-23.579724500002087,-46.63959123334229
36176-36177,0,0,1,0,0,2,0,0,1,2,1,0,0.012626304515705716,7,-23.542022662447124,-46.446561261983554
11191-11192,0,0,0,1,1,0,1,1,0,1,3,0,0.014500500004596089,8,-23.633176502377374,-46.462086361423786
27268-100528,0,1,1,0,0,0,0,0,1,1,1,0,0.012683126090430014,5,-23.453543513350354,-46.601552250351354
81383-81367,0,1,0,1,0,0,0,1,1,1,0,0,0.012113077389163581,5,-23.529021796191287,-46.42748926342101
28226-102494,0,1,1,0,1,0,0,0,1,2,2,0,0.01543255712547701,8,-23.48808355928475,-46.72754176006029
81345-81352,0,3,0,2,1,2,0,1,3,2,0,3,0.019876554155124702,17,-23.52690341972356,-46.42412496958707
4054-4019,0,0,0,0,0,1,2,0,2,0,1,0,0.009374644078256784,6,-23.634635947813933,-46.77521773705368
107466-100214,0,0,0,1,1,0,0,0,3,0,0,1,0.010199473388770875,6,-23.720864420391173,-46.753811038690614
2001-5446,0,2,0,1,0,1,0,1,0,2,2,2,0.01739106849944217,11,-23.559442725001894,-46.63937430000362
47859-39829,0,1,0,0,0,2,1,0,0,2,0,0,0.009634923549574565,6,-23.56810685110346,-46.649331921910914
99799-6616,0,0,2,0,2,2,0,0,0,1,0,0,0.010465251722158765,7,-23.564183362772823,-46.654223448316024
6447-32332,1,1,0,1,2,0,2,1,1,2,0,0,0.019272595804426015,11,-23.53292754915305,-46.54536209627376
35995-86607,0,0,0,1,1,0,2,0,4,3,0,0,0.012246883032869235,11,-23.674581541355234,-46.77729107007107
1941-111211,0,0,2,1,1,1,0,1,0,1,2,0,0.01767151046501702,9,-23.530411639728825,-46.6320478796755
139616-44487,0,0,1,0,0,1,2,1,0,1,1,1,0.01673762039011267,8,-23.608402675011632,-46.725927574967145
46991-54578,0,0,1,0,5,0,1,0,0,3,0,0,0.009896119497904032,10,-23.614759645775415,-46.501614034574544
4313-4351,0,0,2,0,1,1,3,3,1,2,0,1,0.019223106045795222,14,-23.665621118198413,-46.711474911062524
5441-7850,0,0,0,0,1,1,2,0,0,1,1,1,0.01489550159663116,7,-23.55938534265088,-46.637126809018966
8059-8060,0,1,0,0,0,1,0,1,0,1,1,1,0.014761695952925579,6,-23.553762130333673,-46.49099992914327
99877-98384,0,2,1,2,1,5,3,2,1,1,3,4,0.027013160645095017,25,-23.738254201252655,-46.78097829449709
72823-72824,0,0,1,0,1,1,0,1,0,1,0,0,0.012454923314521107,5,-23.54255349150551,-46.416308550434515
23273-12072,1,2,1,0,2,0,0,2,2,6,4,3,0.02238220230506421,23,-23.538265763983283,-46.63682080630487
112614-21920,0,2,1,0,0,1,0,0,0,2,0,0,0.010289288135915758,6,-23.546081763360476,-46.622155200846
4385-27567,0,0,1,0,0,0,0,1,2,1,0,1,0.012009515486843475,6,-23.657654943943456,-46.73589298973177
5422-5423,0,0,2,0,2,0,2,2,1,3,2,2,0.01929367477569475,16,-23.552210556688877,-46.632838847245
88991-88986,0,0,1,0,0,0,0,1,2,1,0,0,0.009512115630009133,5,-23.448323399217372,-46.717184168669405
100691-74011,0,0,0,0,1,0,3,2,0,1,0,0,0.009283912854100223,7,-23.442169362008002,-46.57663497254134
16046-16047,0,0,0,0,0,0,0,0,1,6,0,0,0.004920565801480594,7,-23.683585475006183,-46.69271095001949
39413-27860,0,0,0,0,1,1,0,0,1,2,1,0,0.012773857314586565,6,-23.476968600006096,-46.67391802498592
36016-36015,0,1,0,1,0,0,0,2,1,2,0,0,0.012113077389163583,7,-23.6931399503218,-46.779685061467106
23487-7721,0,3,1,2,0,0,0,0,0,1,1,1,0.01548662926916628,9,-23.548633875000476,-46.65089122500341
95449-95457,0,0,0,2,0,0,0,0,2,2,1,3,0.012634552808810831,10,-23.546480274589825,-46.40903888668738
5534-5535,0,0,0,1,1,2,0,0,0,2,1,1,0.015577360493322808,8,-23.53991453189443,-46.6369987191236
72818-72827,0,0,1,0,3,1,2,1,0,1,0,1,0.016899836821180476,10,-23.542496736831517,-46.41988808486627
62714-121755,0,0,2,0,1,0,1,1,0,1,0,0,0.011885791090266365,6,-23.635146456841348,-46.6182971792046
56470-51968,0,0,0,1,1,1,0,0,1,1,0,0,0.012816015257123963,5,-23.66239664713833,-46.70651139878139
5714-112839,0,1,1,0,0,1,0,0,1,2,0,2,0.015109957217364868,8,-23.600304663555427,-46.57708130398831
74916-74912,0,0,0,0,0,0,0,0,1,1,1,3,0.010005180262294222,6,-23.502735116600405,-46.376472604173365
91631-71529,0,0,3,0,1,0,0,0,0,1,0,2,0.010446005704913408,7,-23.629416885663222,-46.44416388573415
6438-6439,0,0,0,0,1,1,0,1,0,2,0,0,0.009853045078354952,5,-23.529406448580072,-46.5530442143387
73956-73958,0,1,1,0,1,0,1,1,2,1,2,0,0.019369742367664373,10,-23.45667868875043,-46.59255506585015
31127-114807,0,1,1,0,1,2,0,1,0,1,0,0,0.015028390763325112,7,-23.727296134152716,-46.69933978148517
3719-60803,0,0,1,2,1,0,1,0,1,3,1,1,0.01993337572984895,11,-23.431240850000002,-46.756118650000005
66898-67218,0,0,2,0,0,0,0,0,1,2,1,1,0.012607058498460378,7,-23.54502413967831,-46.50739147247873
129699-13319,0,0,0,0,1,0,1,0,0,2,0,1,0.009791641118572256,5,-23.596574150000755,-46.681465549997355
13075-13074,0,1,1,0,0,0,0,1,0,2,0,1,0.012259713711032759,6,-23.635701899999997,-46.703668750000006
32685-32686,0,4,1,1,1,1,1,4,0,2,4,3,0.02468989142048033,22,-23.491627301494944,-46.44665534957362
10758-7188,0,0,0,0,0,1,0,0,2,0,2,2,0.00992453028526618,7,-23.611763533390423,-46.47508535870857
101415-111217,0,0,2,2,1,2,0,1,0,4,1,1,0.020168910321851367,14,-23.503354583662016,-46.62464488624731
124802-124803,0,0,1,0,0,1,0,1,1,1,3,0,0.014615976108068054,8,-23.650805375000097,-46.70651972500069
20693-20684,0,0,0,0,0,0,0,1,0,2,1,2,0.009671582630041843,6,-23.538840918090123,-46.5772119171005
3497-3495,0,0,0,1,0,0,0,0,0,2,2,2,0.01031128358419612,7,-23.64625916868612,-46.70848161529265
140641-72746,0,1,0,1,0,2,0,1,1,3,1,1,0.019714337724056917,11,-23.521868277642618,-46.41860930899344
53548-15290,0,0,2,0,0,0,0,0,2,1,0,1,0.010019843894481132,6,-23.652841525000227,-46.71260515000303
66001-66002,0,0,2,2,0,0,0,0,0,2,0,0,0.00782854735954866,6,-23.583857499999997,-46.7870298
46991-50093,0,1,2,0,0,0,0,1,0,1,1,0,0.012349528458177625,6,-23.612499973039583,-46.50151777912417
114790-126563,0,1,0,0,1,1,0,0,0,2,1,0,0.013024055538775847,6,-23.6500281750029,-46.70410109999198
59472-59461,0,1,1,1,2,0,2,0,0,1,1,0,0.017686174097203914,9,-23.698863184210644,-46.6392073580115
66447-29788,0,0,0,2,1,1,0,1,1,2,0,0,0.014805686849486294,8,-23.58239832425654,-46.794297014275955
21836-21835,0,1,0,0,5,1,0,0,0,1,1,0,0.013024055538775845,9,-23.555855672807965,-46.6505357525172
33957-99399,0,2,1,5,1,1,1,1,1,1,1,1,0.02701316064509502,16,-23.607428600004013,-46.47860804999931
21943-8300,0,1,2,0,1,0,5,2,2,4,3,2,0.02186714222449873,22,-23.557443441194973,-46.62994360450647
106474-106475,0,1,1,0,0,1,0,0,1,0,2,3,0.015099875970236338,9,-23.685803950004583,-46.790942799984336
113712-137465,0,2,0,0,2,1,0,0,3,3,2,1,0.017844724620224926,14,-23.610500100005794,-46.58641432500289
39839-6453,0,2,0,0,0,0,3,0,0,1,0,3,0.009615677532329229,9,-23.560204085823464,-46.64592952224798
116394-116395,0,0,0,3,5,5,1,3,0,4,6,6,0.019514545735510178,33,-23.54835008333631,-46.6506320833314
134327-1819,0,1,1,0,1,0,0,1,0,2,0,0,0.012511744889245408,6,-23.58332687452105,-46.600824098316394
113920-113940,0,0,0,0,1,0,0,1,2,2,0,0,0.009659668428889987,6,-23.57728445000836,-46.500606100017535
15121-10237,0,1,1,0,0,1,1,3,0,1,2,0,0.016813687982082316,10,-23.65529022003563,-46.706743327296536
12431-12433,0,0,0,0,0,0,0,2,1,1,1,0,0.009497451997822213,5,-23.60142545000246,-46.695142449988325
86082-86083,0,0,0,1,2,0,1,2,1,2,1,1,0.019321169086045163,11,-23.491317750002956,-46.443499399997094
93164-93125,0,0,0,1,1,1,1,0,0,1,2,2,0.017524874143147785,9,-23.578880426823716,-46.39866947661677
136909-3570,0,1,1,0,4,2,0,0,2,4,2,1,0.02044660285639105,17,-23.554984874449726,-46.663166714341045
9353-141819,0,1,1,1,0,0,1,0,1,1,0,0,0.014672797682792374,6,-23.520748707016672,-46.66937522869195
8022-8024,0,0,1,0,2,1,0,0,0,1,0,0,0.010465251722158769,5,-23.543994728111713,-46.518807314812015
28928-74621,0,2,0,0,0,0,0,1,0,1,0,2,0.00965783547486658,6,-23.497136776142426,-46.393628859295404
107192-104501,0,3,2,1,0,2,2,0,0,1,0,2,0.017363574189091693,13,-23.682830660017267,-46.79182623000368
394-31472,0,0,0,1,0,1,0,0,2,0,1,0,0.010056502974948428,5,-23.572038985451073,-46.704194157543284
86673-86682,0,3,1,2,0,0,0,1,0,1,0,0,0.012391686400714997,8,-23.648844848852093,-46.59931948089648
6700-140309,0,3,1,0,0,1,0,0,0,1,0,0,0.010289288135915753,6,-23.5931728027779,-46.63664412855985
107540-107519,0,0,0,0,0,0,0,0,1,2,1,1,0.010005180262294225,5,-23.722328632728928,-46.765354197600765
92086-92082,0,0,0,0,0,1,0,0,0,4,3,0,0.007701157054924838,8,-23.609327151088692,-46.45349321708947
24712-24711,0,1,2,0,1,0,0,0,0,1,2,2,0.01560668775769668,9,-23.50181266850659,-46.67160754753574
95194-95195,0,0,1,0,1,1,0,0,2,1,1,4,0.017873135407587122,11,-23.54321812434066,-46.41633515749844
7170-7171,0,0,0,0,0,0,0,0,1,3,1,2,0.010005180262294223,7,-23.594520792410016,-46.46556625978546
116395-112719,0,0,0,1,2,0,2,1,4,2,2,2,0.01932116908604516,16,-23.548583199999992,-46.65135695
35885-66852,0,0,0,0,2,1,2,1,0,1,0,1,0.014297958585014306,8,-23.540512807918383,-46.4912619773818
128803-44465,0,0,0,0,1,3,1,0,0,2,0,0,0.00981088713581759,7,-23.607837388360714,-46.72062852483138
9185-9171,0,2,2,1,2,0,0,0,1,1,0,3,0.01797211492484875,12,-23.653750682073316,-46.64516490784105
64506-64508,0,0,0,0,0,0,1,0,3,1,1,1,0.011952693912119162,7,-23.592199649999998,-46.7541278
125884-125887,0,2,0,1,1,1,0,0,0,2,0,0,0.01306621348131324,7,-23.551031800016204,-46.65579039998195
124669-9209,0,0,1,0,1,0,0,1,0,3,0,1,0.012435677297275748,7,-23.541405939336137,-46.6306305587866
66066-64724,0,1,0,1,2,1,0,0,0,1,1,0,0.015653428085292454,7,-23.57637399881967,-46.77891430401047
1977-100331,0,0,1,1,1,1,0,0,0,1,1,0,0.015681838872654598,6,-23.535896513680154,-46.63397729215646
18627-6532,0,0,0,0,1,1,0,0,0,1,3,0,0.010450588089971857,6,-23.553183816854215,-46.65480135696487
97821-97822,0,0,0,0,0,0,0,0,0,1,3,2,0.007681911037679487,6,-23.528294913574292,-46.39293180711165
15997-6547,0,1,0,2,1,1,1,1,0,1,2,0,0.01959061332747981,10,-23.537435379666945,-46.67432945435368
88440-41120,0,1,2,0,2,0,0,1,2,3,2,2,0.019919628574673765,15,-23.46197451933329,-46.71373178974829
23282-23283,0,1,1,0,1,1,1,0,2,3,0,0,0.01730950204540248,10,-23.5323795839411,-46.641675557777575
9991-66109,0,1,0,0,0,0,1,2,0,1,0,0,0.009107949267857208,5,-23.566519651422908,-46.74298837654817
7725-21786,0,4,0,0,0,0,0,0,0,2,0,1,0.007668163882504251,7,-23.554752593260243,-46.655084845084936
37361-37360,0,1,0,0,0,0,0,0,0,2,1,1,0.010255378486483474,5,-23.74025775014876,-46.698871275736764
202-3158,0,0,0,1,0,1,1,1,1,1,0,0,0.014003769464264243,6,-23.569189084372848,-46.6074523209044
51683-51516,0,0,1,0,0,1,0,0,1,1,0,1,0.012536489768560859,5,-23.671191311797454,-46.66392124735364
68702-68683,0,1,1,1,1,1,0,0,1,1,0,0,0.017991360942094085,7,-23.478748697696744,-46.60255068001901
5555-112721,0,1,4,1,0,0,0,1,0,1,1,1,0.01747630086152865,10,-23.54671202770195,-46.646660954306675
124499-6586,0,1,0,1,1,0,1,0,0,1,0,0,0.012497081257058494,5,-23.553691762843357,-46.67193766251716
86487-86955,0,1,0,1,0,2,0,2,0,1,1,0,0.0148936686426078,8,-23.622094369471462,-46.72787080802763
80732-80733,0,0,0,1,2,0,1,1,1,2,1,1,0.01932116908604516,10,-23.619292699999995,-46.758125150000005
51778-9544,0,1,1,1,0,0,0,0,0,2,0,2,0.012899414665187032,7,-23.67471591780527,-46.66192984065988
75609-75952,0,1,0,0,0,1,0,0,0,1,2,0,0.010274624503728841,5,-23.651711110171647,-46.79061203030709
88341-88338,0,0,0,2,1,0,0,0,1,1,0,1,0.012796769239878634,6,-23.460895270427798,-46.68776805812714
46592-46604,0,1,0,2,0,0,1,1,0,2,0,3,0.014234721671208197,10,-23.603479854877307,-46.526204464485744
5553-5555,0,1,0,0,0,1,0,0,1,2,1,3,0.01509529358517796,9,-23.54679813739154,-46.64586512066591
62064-68142,0,1,1,1,4,5,0,1,1,1,1,0,0.0225682471384357,16,-23.489685950629486,-46.57562907907183
115483-19268,0,0,1,1,2,0,0,1,0,1,0,0,0.012567649986958036,6,-23.5773799318102,-46.608686545846616
72466-84243,0,0,0,0,0,0,0,1,1,1,1,1,0.011994851854656593,5,-23.50343244611865,-46.40616916048987
54843-54877,0,0,0,0,0,1,0,0,2,2,0,1,0.009934611532394682,6,-23.619262825646203,-46.51159342589896
141441-6119,0,0,0,2,0,1,0,0,1,1,1,0,0.01265379882605619,6,-23.545516887302185,-46.59178158941664
5638-5639,0,1,0,0,1,3,0,0,3,1,0,2,0.015257510016245696,11,-23.53373165,-46.631561399999995
73188-73193,0,1,3,2,2,0,4,1,3,6,2,1,0.024496514771015315,25,-23.48369088340081,-46.46126895002192
254-31491,0,0,1,2,0,0,1,1,3,1,1,0,0.016676216430329946,10,-23.57434910041728,-46.706604250078286
135059-4290,0,1,1,0,2,1,0,0,1,2,0,0,0.01536198839557749,8,-23.675524783139096,-46.75536518792387
28008-28010,0,0,0,0,0,1,0,1,0,1,1,1,0.012188228504121542,5,-23.46636760679762,-46.603571225706936
21486-21489,0,0,1,0,1,0,0,0,1,2,1,1,0.015356489533507357,7,-23.69351303974851,-46.66557935658515
130058-60828,0,1,0,1,0,0,0,0,0,1,2,0,0.010387351176165764,5,-23.419389849999998,-46.742540000000005
1895-1896,0,1,0,0,0,0,0,0,1,1,1,1,0.012578647711098201,5,-23.551831399999998,-46.6265444
140607-11649,1,0,1,0,0,0,0,0,0,2,0,1,0.01015914840025683,5,-23.598681215022665,-46.46392342750166
72701-96318,0,2,0,0,0,0,1,0,1,2,1,0,0.012028761504088832,7,-23.539238257907492,-46.414217092913205
1988-5426,0,3,1,0,2,1,0,0,0,1,1,0,0.015625933774941977,9,-23.54901178684935,-46.63779870111988
21217-21219,0,1,1,0,1,0,0,0,1,2,2,0,0.01543255712547701,8,-23.53979589887372,-46.6155934941396
9627-9727,0,0,2,0,0,0,0,0,0,2,1,1,0.010283789273845647,6,-23.66743146825275,-46.65347715132106
4290-115647,0,1,1,1,2,0,2,2,4,6,2,4,0.02449651477101531,25,-23.675586508134565,-46.75702088790728
